confidence_threshold,nms_threshold,mAP,micro_precision,micro_recall,f1,num_predictions
0.15,0.6,0.7546443767007646,0.2611633372502938,0.8797624938149431,0.40276361988900217,6808
0.2,0.4,0.7522249554614735,0.4721054107092795,0.8332508659079664,0.6027201145311382,3567
0.15,0.3,0.7514129670102417,0.41944374843397647,0.8283028203859476,0.5568862275449102,3991
0.2,0.6,0.7489544972691836,0.3299848369977256,0.8614547253834736,0.4771824037275593,5276
0.25,0.5,0.7478833672101544,0.4825214899713467,0.8332508659079664,0.6111413536563237,3490
0.25,0.55,0.7478062865234851,0.43976215098241983,0.8416625432953984,0.5776872134488028,3868
0.25,0.45,0.7457018583153914,0.5152824945970979,0.8258287976249381,0.6346007604562737,3239
0.05,0.2,0.7455340278697872,0.2239794539064612,0.8198911429985156,0.3518420214460134,7398
0.01,0.2,0.7455340278697872,0.08160953506698188,0.8198911429985156,0.1484434490481523,20304
0.2,0.3,0.7443373161958711,0.5033680342927128,0.8134586838198912,0.6219027804047664,3266
0.25,0.4,0.7433058457268992,0.5399476096922069,0.8159327065809006,0.6498522167487685,3054
0.1,0.2,0.7428095072456317,0.34160066694456026,0.8109846610588818,0.4807156474556387,4798
0.3,0.5,0.7426157790651824,0.5427448411398624,0.8198911429985156,0.653133622388648,3053
0.25,0.6,0.742400071808645,0.39477335800185015,0.8446313706086096,0.5380614657210403,4324
0.3,0.55,0.7415107026402329,0.5012012012012012,0.8258287976249381,0.6238086339002056,3330
0.3,0.45,0.7406563077258503,0.5770987003863716,0.8129638792676893,0.6750205423171733,2847
0.15,0.2,0.7399211697401805,0.4407930472569256,0.8030677882236517,0.5691741188847974,3682
0.3,0.4,0.737746294209414,0.5993353028064993,0.8030677882236517,0.6864030450412348,2708
0.3,0.6,0.7369138925538461,0.4563265306122449,0.8297872340425532,0.5888342696629214,3675
0.35,0.5,0.7354870891336924,0.6015538290788013,0.8045522018802573,0.6883996613039796,2703
0.25,0.3,0.7354283861634361,0.57137796670209,0.7981197427016329,0.6659785301403798,2823
0.35,0.55,0.7351952003751117,0.5606164383561644,0.809995051954478,0.6626189030560615,2920
0.2,0.2,0.7338939968444997,0.5251231527093596,0.7911924789708066,0.6312672720094749,3045
0.35,0.45,0.7327485664786785,0.6355029585798817,0.7971301335972291,0.7071992976294995,2535
0.35,0.6,0.7309566224537104,0.5121495327102804,0.8134586838198912,0.6285605046836169,3210
0.35,0.4,0.730687930728372,0.657601977750309,0.7897080653142009,0.7176258992805755,2427
0.3,0.3,0.7303543567845605,0.6303054343514478,0.7862444334487877,0.6996917657419639,2521
0.4,0.5,0.7275393350792208,0.6530445443400081,0.7906976744186046,0.7153088630259622,2447
0.4,0.55,0.7269019672252041,0.6143840856924254,0.7946561108362197,0.6929881337648328,2614
0.25,0.2,0.7246460428098669,0.5909433962264151,0.7748639287481445,0.6705202312138728,2650
0.4,0.45,0.7243626501611267,0.6828212894850714,0.7808015833745671,0.7285318559556787,2311
0.4,0.6,0.7241301834981994,0.5701165665842458,0.7986145472538347,0.6652926628194558,2831
0.35,0.3,0.7232717640340984,0.6854377474703036,0.7709054923305294,0.7256637168141594,2273
0.4,0.4,0.7225793649287628,0.7019748653500898,0.7738743196437408,0.7361732172275829,2228
0.3,0.2,0.7207123786154941,0.6486599664991625,0.7664522513607125,0.702653662962123,2388
0.05,0.1,0.7157797471104967,0.23212435233160622,0.7758535378525483,0.3573381950774841,6755
0.01,0.1,0.7157797471104967,0.08922271537498577,0.7758535378525483,0.16004082674151568,17574
0.4,0.3,0.7146351503616987,0.7256300523062292,0.7550717466600693,0.7400581959262852,2103
0.35,0.2,0.714070204528551,0.7024412713035467,0.7545769421078674,0.7275763358778627,2171
0.1,0.1,0.7138849996159574,0.35077825400406043,0.7694210786739238,0.48187170746823677,4433
0.15,0.1,0.710900928601888,0.4505847953216374,0.7624938149430974,0.5664399926484102,3420
0.5,0.5,0.7067154295269857,0.7351797862001944,0.7486392874814448,0.7418484922775189,2058
0.5,0.55,0.7059511811457322,0.705718270571827,0.7511133102424542,0.7277085330776605,2151
0.4,0.2,0.7048890629547163,0.7390231869758264,0.7412172191984167,0.740118577075099,2027
0.5,0.45,0.704820699992767,0.7580808080808081,0.7427016328550222,0.7503124218945264,1980
0.2,0.1,0.7047353410669642,0.5362318840579711,0.7506185056902523,0.6255670103092784,2829
0.5,0.4,0.7030600146055591,0.771620921802175,0.7372587827808016,0.7540485829959513,1931
0.5,0.6,0.7023290178911304,0.670774647887324,0.7540821375556656,0.7099930118798045,2272
0.25,0.1,0.698245114256614,0.6025796049979847,0.739732805541811,0.6641492669924478,2481
0.5,0.3,0.6941770857771291,0.7897018970189702,0.7209302325581395,0.7537506466632177,1845
0.3,0.1,0.693642466058495,0.6568496207050424,0.7283523008411678,0.6907555138432661,2241
0.35,0.1,0.6886825222043627,0.7095516569200779,0.7204354280059376,0.7149521237417137,2052
0.5,0.2,0.6868091439128886,0.7977777777777778,0.7105393369619001,0.7516356974613976,1800
0.4,0.1,0.6828297872758359,0.746875,0.7095497278574963,0.7277340776452677,1920
0.5,0.1,0.6643018728972419,0.7996495327102804,0.6773874319643741,0.7334583444950443,1712
